Name,Name clean,GCAP ID,Website,LEI (if applicable),Country of HQ,UN Region,Parent company (if applicable),Annual Revenue in USD (if applicable),Type,Sector (if applicable),Assets Under Mgt. (if financial institution),Join Date (DD/MM/YYYY),Where did they publish in 2022?,Where did they publish in 2023?,Partner comment,Partner comment (Sep-24),Update round,Business Declares,Cities Race to Zero,Climate Action Accelerator,Exponential Roadmap Iniative,Fashion Industry Charter for Climate Action,Health Care without Harm,International Wineries for Climate Action (IWCA),Japan Climate Initiative (JCI),National Parks UK,Net Zero Asset Managers Initiative,Net Zero Banking Alliance,Net Zero Investment Consultants (NZIC),Net-Zero Asset Owner Alliance (NZAOA),Net-Zero Export Credit Agencies Alliance (NZECA),Paris Aligned Asset Owners (PAAO),Planet Mark,Pledge to Net Zero,Race to Zero for Universities and Colleges,SBTi,Scotch Whisky Association (SWA),SME Climate Hub,Sports for Climate Action Framework,Tech Zero,The Exchange Group - Net Zero Financial Services Providers Alliance Exchange Group (NZFSPA),Under 2 Coalition,Venture Climate Alliance (VCA),Partners
Innervision Consultancy Limited,innervision consultancy,,http://innervisionconsultancy.co.uk,12742462,United Kingdom,Western European and Others Group (WEOG),,,SME,Other business activities (consultancy legal accounting services advertising employment activities),,29/05/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Allstar Solutions Ltd,allstar solutions,,https://allstar.agency,GB325981676,United Kingdom,Western European and Others Group (WEOG),,,SME,Information technology (IT) software and computer related activities,,29/05/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
D'CARBONISING CENTER INDIA PVT LTD,d'carbonising center india,,http://www.dcarbonisingcenter.com,U74999MH2020PTC351206,India,Asia-Pacific Group,,,SME,Other transport equipment manufacturing,,29/05/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Podobrace India Pvt Ltd,podobrace india,,http://www.podobraceindia.com,984500A5C885BKO2D188,India,Asia-Pacific Group,,,SME,Textile manufacturing,,29/05/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Advanced Media Trading,advanced media trading,,http://www.amt.tv,100442765200003,United Arab Emirates,Asia-Pacific Group,,,SME,Retail and wholesale,,29/05/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
TCE Technology Business Incubator,tce technology incubator,,,,India,Asia-Pacific Group,,,SME,Education,,29/05/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Serafin Innovations Ltd.,serafin innovations,,,,India,Asia-Pacific Group,,,SME,Activities auxiliary to financial intermediation,,29/05/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Autumn Dahlia Creative Services LLC,autumn dahlia creative services,,https://www.autumndahliadesign.com,,United States of America,Western European and Others Group (WEOG),,,SME,Creative arts and entertainment activities,,28/05/2023,,Other,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Artificial Recognition Technology LLC,artificial recognition technology,,https://artech.om/,1367752,Oman,Asia-Pacific Group,,,SME,Telecommunication,,28/05/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
RSL Builders Corporation,rsl builders,,,,Philippines,Asia-Pacific Group,,,SME,Construction and civil engineering,,27/05/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
India Sweet House,india sweet house,,http://www.indiasweethouse.in,,India,Asia-Pacific Group,,,SME,Restaurants,,27/05/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Deffinux,deffinux,,http://www.deffinux.com,U70200KA2023OPC170936,India,Asia-Pacific Group,,,SME,Other business activities (consultancy legal accounting services advertising employment activities),,27/05/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Pradeep Bhanot's The Cosmic Voice,pradeep bhanot's cosmic voice,,,,India,Asia-Pacific Group,,,SME,Other business activities (consultancy legal accounting services advertising employment activities),,27/05/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
SDR Capital Limited (trading name Xyrya),sdr capital trading xyrya,,https://xyrya.com,14086183,United Kingdom,Western European and Others Group (WEOG),,,SME,Financial actor not insurance and pension,,27/05/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
TRANSMITEL,transmitel,,,20521260450,Peru,Latin American and Caribbean Group (GRULAC),,,SME,Telecommunication,,26/05/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Poise and polished,poise polished,,,,Germany,Western European and Others Group (WEOG),,,SME,Wearing apparel manufacturing,,26/05/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Samerth Charitable Trust,samerth,,http://www.samerth.org,E 9150,India,Asia-Pacific Group,,,SME,Health and social work,,26/05/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
OdiliaClark Ltd,odiliaclark,,http://odiliaclark.com,313550143,United Kingdom,Western European and Others Group (WEOG),,,SME,Other business activities (consultancy legal accounting services advertising employment activities),,26/05/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
VPC,vpc,,,,Luxembourg,Western European and Others Group (WEOG),,,SME,Telecommunication,,26/05/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
MES Systems Ltd,mes systems,,http://www.mes-systems.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Information technology (IT) software and computer related activities,,26/05/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
No Panic srl,panic,,https://www.nopanic-agency.com,IT11856560013,Italy,Western European and Others Group (WEOG),,,SME,Other business activities (consultancy legal accounting services advertising employment activities),,25/05/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Kameliservicios EIRL,kameliservicios,,,20601078318,Peru,Latin American and Caribbean Group (GRULAC),,,SME,Building services,,25/05/2023,,Did not - support needed,,,Oct-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Arunava Mukherjee,arunava mukherjee,,,,India,Asia-Pacific Group,,,SME,Information technology (IT) software and computer related activities,,25/05/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Rhubarb Seating Limited,rhubarb seating,,http://www.rhubarbseating.co.uk,7625650,United Kingdom,Western European and Others Group (WEOG),,,SME,Furniture manufacturing,,25/05/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
B&M Packaging Services Limited,b&m packaging services,,https://b-massociates.co.uk/,7680173,United Kingdom,Western European and Others Group (WEOG),,,SME,Other manufacturing,,25/05/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Willows Shake Shop,willows shake shop,,http://willowsshakeshop.co.uk,404107449,United Kingdom,Western European and Others Group (WEOG),,,SME,Retail and wholesale,,25/05/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
futureCodersSE CIC,futurecodersse,,https://www.futurecoders.org.uk,10593417,United Kingdom,Western European and Others Group (WEOG),,,SME,Education,,25/05/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
MedPoint Digital Inc,medpoint digital,,,,United States of America,Western European and Others Group (WEOG),,,SME,Information technology (IT) software and computer related activities,,25/05/2023,,Did not - support needed,,,Oct-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Happy Days Leisure,happy days leisure,,http://WWW.HAPPYDAYSLEISURELTD.COM,12486492,United Kingdom,Western European and Others Group (WEOG),,,SME,Hotels and similar accommodation,,25/05/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
ALANA CONSULTORES COMUNICACIÓN,alana consultores comunicacion,,http://www.alanaconsultores.com,B82262072,Spain,Western European and Others Group (WEOG),,,SME,Other business activities (consultancy legal accounting services advertising employment activities),,25/05/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
M+A Partners,m+a partners,,http://www.mapartners.co.uk,105294686,United Kingdom,Western European and Others Group (WEOG),,,SME,Other business activities (consultancy legal accounting services advertising employment activities),,25/05/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
M.ELECTRO S.A.,m.electro,,http://www.melectro.com.pe,20100054001,Peru,Latin American and Caribbean Group (GRULAC),,,SME,Retail and wholesale,,24/05/2023,,Did not - support needed,,,Oct-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Achieve Goal 12,achieve goal 12,,http://www.achievegoal12.co.uk,12374343,United Kingdom,Western European and Others Group (WEOG),,,SME,Other business activities (consultancy legal accounting services advertising employment activities),,24/05/2023,,Other,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
AJT,ajt,,https://www.teamajt.com/,8409933,United Kingdom,Western European and Others Group (WEOG),,,SME,Creative arts and entertainment activities,,24/05/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
The Ethical Agency,ethical agency,,https://theethicalagency.co.za,4480292673,South Africa,African Group,,,SME,Creative arts and entertainment activities,,24/05/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Grupo Triconm,grupo triconm,,http://www.triconm.com,,Peru,Latin American and Caribbean Group (GRULAC),,,SME,Telecommunication,,24/05/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
FinDev Canada,findev canada,,,,Canada,Western European and Others Group (WEOG),,,SME,Financial actor not insurance and pension,,24/05/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
ClimEdU,climedu,,https://climedu.dk/,DK-43772856,Denmark,Western European and Others Group (WEOG),,,SME,Other business activities (consultancy legal accounting services advertising employment activities),,24/05/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Sector 7 Wireless Inc,sector 7 wireless,,http://N/A,,United States of America,Western European and Others Group (WEOG),,,SME,Construction and civil engineering,,24/05/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
CALERAS SAN JUAN,caleras san juan,,http://WWW.CALERASSANJUAN.COM,,Argentina,Latin American and Caribbean Group (GRULAC),,,SME,Cement lime and plaster manufacturing,,24/05/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
tapio,tapio,GCAP20944,http://www.tapioview.com,,Belgium,Western European and Others Group (WEOG),,,SME,Services,,24/05/2023,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
pfm medical UK Ltd,pfm medical,,http://www.pfmmedical.co.uk,910441664,United Kingdom,Western European and Others Group (WEOG),,,SME,Medical equipment manufacturing,,23/05/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Presto Coffee Roasters,presto coffee roasters,,,11091414,United Kingdom,Western European and Others Group (WEOG),,,SME,Retail and wholesale,,23/05/2023,,Did not - support needed,,,Oct-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Wireless Alert Solutions Limited,wireless alert solutions,,http://www.wasol.co.uk,52544132,United Kingdom,Western European and Others Group (WEOG),,,SME,Electrical machinery and apparaturs manufacturing,,23/05/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Highlander,highlander,,http://www.highlanderhr.com,b93599884,Spain,Western European and Others Group (WEOG),,,SME,Other business activities (consultancy legal accounting services advertising employment activities),,23/05/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
DESIRE TECHNOLOGIES,desire technologies,,,230422080996QRA,India,Asia-Pacific Group,,,SME,Information technology (IT) software and computer related activities,,23/05/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
79th Grp Ltd,79th grp,,https://the79thgroup.co.uk/,12783409,United Kingdom,Western European and Others Group (WEOG),,,SME,Other business activities (consultancy legal accounting services advertising employment activities),,23/05/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
VPBank,vpbank,,https://www.vpbank.com.vn,100233583,Vietnam,Asia-Pacific Group,,,SME,Activities auxiliary to financial intermediation,,23/05/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Zest,zest,,http://www.zest.uk.com%20/,388957022,United Kingdom,Western European and Others Group (WEOG),,,SME,Land transport,,23/05/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Ravenous Enterprises,ravenous,,,,Australia,Western European and Others Group (WEOG),,,SME,Information technology (IT) software and computer related activities,,23/05/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Winterborn BV,winterborn,,http://winterborn.nl,12345678,Netherlands,Western European and Others Group (WEOG),,,SME,Information technology (IT) software and computer related activities,,23/05/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Aspex UK Ltd,aspex,,https://aspex-uk.co.uk/,811525322,United Kingdom,Western European and Others Group (WEOG),,,SME,Wood and straw products manufacturing not furniture,,23/05/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
4CLIMATE,4climate,,https://www.4climate.in/,,India,Asia-Pacific Group,,,SME,Information technology (IT) software and computer related activities,,23/05/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
echarge,echarge,,http://www.echargeapp.in,29AGDPV4011B1ZQ,India,Asia-Pacific Group,,,SME,Information technology (IT) software and computer related activities,,23/05/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Lito Moravia,lito moravia,,http://N/A,3-102-798086 SRL,Costa Rica,Latin American and Caribbean Group (GRULAC),,,SME,Other business activities (consultancy legal accounting services advertising employment activities),,22/05/2023,,Did not - support needed,,,Nov-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Space Studio Chennai,space studio chennai,,http://www.spacestudiochennai.com,33BZVPS0416H1Z5,India,Asia-Pacific Group,,,SME,Construction and civil engineering,,22/05/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
SunTrade,suntrade,,"http://www.suntrade,se",559294-4176,Sweden,Western European and Others Group (WEOG),,,SME,Electricity transmission,,22/05/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
361 Energy CIC,361 energy,,http://361energy.org,8377598,United Kingdom,Western European and Others Group (WEOG),,,SME,Repair household goods,,22/05/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Greenhood Limited,greenhood,,http://www.greenhoodltd.com,9120984,United Kingdom,Western European and Others Group (WEOG),,,SME,Information technology (IT) software and computer related activities,,22/05/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
INSTRUMENTAL SERVICES INC dba INRHYTHM,instrumental services inrhythm,,https://www.inrhythm.com/,,United States of America,Western European and Others Group (WEOG),,,SME,Information technology (IT) software and computer related activities,,22/05/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
G&P Group,g&p,,,37688736,Ukraine,Eastern European Group,,,SME,Other manufacturing,,22/05/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
FSO Architect,fso architect,,http://www.fsoarchitect.in,,India,Asia-Pacific Group,,,SME,Construction and civil engineering,,22/05/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
altr,altr,,http://@drinkaltr,,Australia,Western European and Others Group (WEOG),,,SME,Beverage manufacturing,,21/05/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
YPC,ypc,,http://Dr.%20Vikas%20Mishra,,India,Asia-Pacific Group,,,SME,Pharmaceutical products manufacturing,,20/05/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Alder and Alder,alder alder,,http://www.alderandalder.co.uk,5532322,United Kingdom,Western European and Others Group (WEOG),,,SME,Creative arts and entertainment activities,,20/05/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Invest4Energy,invest4energy,,https://invest4energy.io/,13900296,United Kingdom,Western European and Others Group (WEOG),,,SME,Information technology (IT) software and computer related activities,,20/05/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
BB TECNOLOGÍA INDUSTRIAL S.A.C.,bb tecnologia industrial,,http://www.bbti.com.pe,20299922821,Peru,Latin American and Caribbean Group (GRULAC),,,SME,Other business activities (consultancy legal accounting services advertising employment activities),,19/05/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Catalin C Florea PFA,catalin florea,,,RO43569558,Romania,Eastern European Group,,,SME,Other business activities (consultancy legal accounting services advertising employment activities),,19/05/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Genericmedsstore,genericmedsstore,,https://www.genericmedsstore.com/,,United States of America,Western European and Others Group (WEOG),,,SME,Rice agriculture,,19/05/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
MV SOLAR,mv solar,,https://www.facebook.com/mvsolar01,08DXFPD1515N1ZG,India,Asia-Pacific Group,,,SME,Other manufacturing,,19/05/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Nanozeo,nanozeo,,no_website,,"Taiwan, a province of China",Asia-Pacific Group,,,SME,Education and research,,18/05/2023,Did not - joined less than 12 months ago,Did not - support needed,,,Apr-24,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Berry & Escott,berry escott,,www.berryescott.co.uk,4310923,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,18/05/2023,Did not - support needed,Did not - support needed,,,Mar-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
KABEL GROUP SAC,kabel,,https://www.kabelgroupsac.com/,20537038790,Peru,Latin American and Caribbean Group (GRULAC),,,SME,Retail and wholesale,,18/05/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Data Swiss,data swiss,,http://www.dataswiss.net,,Peru,Latin American and Caribbean Group (GRULAC),,,SME,Information technology (IT) software and computer related activities,,18/05/2023,,Other,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Car SAC,car,,,111111111111,Peru,Latin American and Caribbean Group (GRULAC),,,SME,Land transport,,18/05/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
